username;date;retweets;favorites;text;geo;mentions;hashtags;id;permalink
Bolanet;2017-12-07 23:45;5;6;"https:// goo.gl/Mp5FAF - Tendangan Pemain Persib Ini Jadi Gol Favorit Liga 1 Indonesia (+Video) pic.twitter.com/bMGNfpLqRC";;;;"938811593101471744";https://twitter.com/Bolanet/status/938811593101471744
Bolanet;2017-12-07 23:30;13;30;"https:// goo.gl/Jw64cu - Tak Lagi Gamang, Essien Sudah Putuskan Masa depannya pic.twitter.com/zS7NGjjKal";;;;"938807820442484736";https://twitter.com/Bolanet/status/938807820442484736
Bolanet;2017-12-07 23:15;34;58;"https:// goo.gl/Am5rWT - Klopp: Conte Benar, Tak Ada Lawan Mudah di Liga Champions pic.twitter.com/4dKBCaJcdX";;;;"938804047867289600";https://twitter.com/Bolanet/status/938804047867289600
Bolanet;2017-12-07 23:00;5;6;"https:// goo.gl/m4MMXb - Stepanenko Bahagia Kalahkan Manchester City pic.twitter.com/pIpmV1OR9e";;;;"938800284720959489";https://twitter.com/Bolanet/status/938800284720959489
Bolanet;2017-12-07 22:45;3;9;"https:// goo.gl/HRNtKu - Hamsik Sebut Kekalahan Dari Shakhtar Bikin Trauma Napoli pic.twitter.com/EL04XC6KU3";;;;"938796492629741570";https://twitter.com/Bolanet/status/938796492629741570
Bolanet;2017-12-07 22:30;9;10;"https:// goo.gl/99JKha - Dibantai Liverpool, Pelatih Spartak Kehabisan Kata-kata pic.twitter.com/KkQmPtYHr0";;;;"938792728418062336";https://twitter.com/Bolanet/status/938792728418062336
Bolanet;2017-12-07 22:15;5;10;"https:// goo.gl/Qbjxdp - Wenger Tidak Berniat Lepas Walcott pic.twitter.com/A07OPLaXdr";;;;"938788945025941505";https://twitter.com/Bolanet/status/938788945025941505
Bolanet;2017-12-07 22:00;21;30;"https:// goo.gl/QMiDYc - Tiga Gol dan Jadi Kapten, Coutinho: Malam Yang Sangat Spesial pic.twitter.com/pBxsP78s4g";;;;"938785186048823297";https://twitter.com/Bolanet/status/938785186048823297
Bolanet;2017-12-07 21:45;9;16;"https:// goo.gl/hs3BuL - Ketum PSSI Minta Pemerintah Proaktif Benahi Stadion Harapan Bangsa pic.twitter.com/5mE06h0z3H";;;;"938781394226110470";https://twitter.com/Bolanet/status/938781394226110470
Bolanet;2017-12-07 21:30;38;63;"https:// goo.gl/9iK65H - Persib di Urutan Ke-101, inilah klub terbaik di Asia pic.twitter.com/3OLbOkvzH8";;;;"938777620317130752";https://twitter.com/Bolanet/status/938777620317130752
Bolanet;2017-12-07 21:15;1;6;"https:// goo.gl/8nYkVS - Indonesia Tak Masuk, Berikut Top Skor dan Klasemen Akhir Tsunami Cup 2017 pic.twitter.com/gNvFsYXtW8";;;;"938773844982206464";https://twitter.com/Bolanet/status/938773844982206464
Bolanet;2017-12-07 21:00;9;11;"https:// goo.gl/qT2Djz - Persela Datangkan Penyerang Asal Belanda pic.twitter.com/4ujsDMbA8D";;;;"938770087762382848";https://twitter.com/Bolanet/status/938770087762382848
Bolanet;2017-12-07 20:50;10;19;"[Editorial] https:// goo.gl/GEFGzM - Babak 16 Liga Champions: Kemungkinan Pertarungan yang Akan Terjadi pic.twitter.com/BioOdO1X2K";;;;"938767552691482625";https://twitter.com/Bolanet/status/938767552691482625
Bolanet;2017-12-07 20:40;3;8;"https:// goo.gl/qU4nGy - Data dan Fakta Liga Europa: Arsenal vs BATE Borisov | Prediksi: Arsenal 2-1 BATE Borisov pic.twitter.com/GnigTSGIfk";;;;"938765035798540289";https://twitter.com/Bolanet/status/938765035798540289
Bolanet;2017-12-07 20:30;3;9;"[Preview] https:// goo.gl/UfdVys - Arsenal vs BATE Borisov, Audisi Calon Pendamping | Jumat (8/12, 03.05 WIB) SCTV pic.twitter.com/FrYpNpo8lQ";;;;"938762519312781313";https://twitter.com/Bolanet/status/938762519312781313
Bolanet;2017-12-07 20:20;9;21;"https:// goo.gl/ewsydR - Data dan Fakta Liga Europa: HNK Rijeka vs AC Milan | Prediksi: HNK Rijeka 1-2 Milan pic.twitter.com/pqtzThTGV2";;;;"938760003107807232";https://twitter.com/Bolanet/status/938760003107807232
